Wake up,25200,0,0,7,0
Jerks,25800,0,0,7,10
Breakfast,27600,0,0,7,40
Ukr. Lit.,30300,1,0,8,25
Break,33000,1,0,9,10
Ukr. Lit.,33600,1,0,9,20
2nd breakfast,36300,1,0,10,5
Biology,37200,1,0,10,20
Break,39900,1,0,11,5
Gym class,40800,1,0,11,20
Break,43500,1,0,12,5
Astronomy,44100,1,0,12,15
Break,46800,1,0,13,0
Civil edu.,47700,1,0,13,15
Break,50400,1,0,14,0
Ukr history,51300,1,0,14,15
Lunch,54000,1,0,15,0
SP,57600,0,0,16,0
Nooning,63600,0,0,17,40
Ending of SP,68400,0,0,19,0
Dinner,70800,0,0,19,40
Shower closing,78300,0,0,21,45
Retire,81000,0,0,22,30
Wake up,111600,0,1,7,0
Jerks,112200,0,1,7,10
Breakfast,114000,0,1,7,40
Geometry,116700,1,1,8,25
Break,119400,1,1,9,10
Geometry,120000,1,1,9,20
2nd breakfast,122700,1,1,10,5
Ukr language,123600,1,1,10,20
Break,126300,1,1,11,5
Ukr language,127200,1,1,11,20
Break,129900,1,1,12,5
World history,130500,1,1,12,15
Break,133200,1,1,13,0
Educational hour,134100,1,1,13,15
Lunch,136800,1,1,14,0
SP,144000,0,1,16,0
Nooning,150000,0,1,17,40
Ending of SP,154800,0,1,19,0
Dinner,157200,0,1,19,40
Shower closing,164700,0,1,21,45
Retire,167400,0,1,22,30
Wake up,198000,0,2,7,0
Jerks,198600,0,2,7,10
Breakfast,200400,0,2,7,40
English language,203100,1,2,8,25
Break,205800,1,2,9,10
English language,206400,1,2,9,20
2nd breakfast,209100,1,2,10,5
Algebra,210000,1,2,10,20
Break,212700,1,2,11,5
Algebra,213600,1,2,11,20
Break,216300,1,2,12,5
Phys prak,216900,1,2,12,15
Break,219600,1,2,13,0
Phys prak,220500,1,2,13,15
Break,223200,1,2,14,0
Gym class,224100,1,2,14,15
Lunch,226800,1,2,15,0
SP,230400,0,2,16,0
Nooning,236400,0,2,17,40
Ending of SP,241200,0,2,19,0
Dinner,243600,0,2,19,40
Shower closing,251100,0,2,21,45
Retire,253800,0,2,22,30
Wake up,284400,0,3,7,0
Jerks,285000,0,3,7,10
Breakfast,286800,0,3,7,40
Geometry,289500,1,3,8,25
Break,292200,1,3,9,10
Geometry,292800,1,3,9,20
2nd breakfast,295500,1,3,10,5
Physics,296400,1,3,10,20
Break,299100,1,3,11,5
Physics,300000,1,3,11,20
Break,302700,1,3,12,5
Informatics,303300,1,3,12,15
Break,306000,1,3,13,0
Informatics,306900,1,3,13,15
Break,309600,1,3,14,0
Geography,310500,1,3,14,15
Lunch,313200,1,3,15,0
SP,316800,0,3,16,0
Nooning,322800,0,3,17,40
Ending of SP,327600,0,3,19,0
Dinner,330000,0,3,19,40
Shower closing,337500,0,3,21,45
Retire,340200,0,3,22,30
Wake up,370800,0,4,7,0
Jerks,371400,0,4,7,10
Breakfast,373200,0,4,7,40
National defense,375900,1,4,8,25
Break,378600,1,4,9,10
Algebra,379200,1,4,9,20
2nd breakfast,381900,1,4,10,5
English language,382800,1,4,10,20
Break,385500,1,4,11,5
Inf tech,386400,1,4,11,20
Break,389100,1,4,12,5
Physics,389700,1,4,12,15
Break,392400,1,4,13,0
Physics,393300,1,4,13,15
Lunch,396000,1,4,14,0
SP,403200,0,4,16,0
Nooning,409200,0,4,17,40
Ending of SP,414000,0,4,19,0
Dinner,416400,0,4,19,40
Shower closing,423900,0,4,21,45
Retire,426600,0,4,22,30
Wake up,457200,0,5,7,0
Jerks,457800,0,5,7,10
Breakfast,459600,0,5,7,40
Physics,462300,1,5,8,25
Break,465000,1,5,9,10
Physics,465600,1,5,9,20
2nd breakfast,468300,1,5,10,5
Gym class,469200,1,5,10,20
Break,471900,1,5,11,5
Chemistry,472800,1,5,11,20
Break,475500,1,5,12,5
Algebra,476100,1,5,12,15
Break,478800,1,5,13,0
Algebra,479700,1,5,13,15
Lunch,482400,1,5,14,0
Dinner,502800,0,5,19,40
Shower closing,510300,0,5,21,45
Retire,513000,0,5,22,30
Breakfast,549900,0,6,8,45
Lunch,568800,0,6,14,0
Dinner,586800,0,6,19,0
Shower closing,596700,0,6,21,45
Retire,599400,0,6,22,30
