Wake up,25200,0,0,7,0
Jerks,25800,0,0,7,10
Breakfast,27600,0,0,7,40
Physics,31200,1,0,8,40
Break,33900,1,0,9,25
Physics,34500,1,0,9,35
2nd breakfast,37200,1,0,10,20
Geometry,38100,1,0,10,35
Break,40800,1,0,11,20
Geometry,41400,1,0,11,30
Break,44100,1,0,12,15
Phys prak,45000,1,0,12,30
Break,47700,1,0,13,15
Phys prak,48600,1,0,13,30
Break,51300,1,0,14,15
Biology,51900,1,0,14,25
Lunch,54600,1,0,15,10
SP,57600,0,0,16,0
Nooning,63600,0,0,17,40
Ending of SP,68400,0,0,19,0
Dinner,70800,0,0,19,40
Shower closing,78300,0,0,21,45
Retire,81000,0,0,22,30
Wake up,111600,0,1,7,0
Jerks,112200,0,1,7,10
Breakfast,114000,0,1,7,40
Algebra,117600,1,1,8,40
Break,120300,1,1,9,25
English language,120900,1,1,9,35
2nd breakfast,123600,1,1,10,20
English language,124500,1,1,10,35
Break,127200,1,1,11,20
Gym class,127800,1,1,11,30
Break,130500,1,1,12,15
World history,131400,1,1,12,30
Break,134100,1,1,13,15
Educational hour,135000,1,1,13,30
Lunch,137700,1,1,14,15
SP,144000,0,1,16,0
Nooning,150000,0,1,17,40
Ending of SP,154800,0,1,19,0
Dinner,157200,0,1,19,40
Shower closing,164700,0,1,21,45
Retire,167400,0,1,22,30
Wake up,198000,0,2,7,0
Jerks,198600,0,2,7,10
Breakfast,200400,0,2,7,40
Physics,204000,1,2,8,40
Break,206700,1,2,9,25
Physics,207300,1,2,9,35
2nd breakfast,210000,1,2,10,20
Algebra,210900,1,2,10,35
Break,213600,1,2,11,20
Algebra,214200,1,2,11,30
Break,216900,1,2,12,15
Physics,217800,1,2,12,30
Break,220500,1,2,13,15
Physics,221400,1,2,13,30
Break,224100,1,2,14,15
Chemistry,224700,1,2,14,25
Lunch,227400,1,2,15,10
SP,230400,0,2,16,0
Nooning,236400,0,2,17,40
Ending of SP,241200,0,2,19,0
Dinner,243600,0,2,19,40
Shower closing,251100,0,2,21,45
Retire,253800,0,2,22,30
Wake up,284400,0,3,7,0
Jerks,285000,0,3,7,10
Breakfast,286800,0,3,7,40
Ukr lit,290400,1,3,8,40
Break,293100,1,3,9,25
Ukr lit,293700,1,3,9,35
2nd breakfast,296400,1,3,10,20
Ukr language,297300,1,3,10,35
Break,300000,1,3,11,20
Ukr language,300600,1,3,11,30
Break,303300,1,3,12,15
Geometry,304200,1,3,12,30
Break,306900,1,3,13,15
Geometry,307800,1,3,13,30
Break,310500,1,3,14,15
Zar lit,311100,1,3,14,25
Lunch,313800,1,3,15,10
SP,316800,0,3,16,0
Nooning,322800,0,3,17,40
Ending of SP,327600,0,3,19,0
Dinner,330000,0,3,19,40
Shower closing,337500,0,3,21,45
Retire,340200,0,3,22,30
Wake up,370800,0,4,7,0
Jerks,371400,0,4,7,10
Breakfast,373200,0,4,7,40
Informatics,376800,1,4,8,40
Break,379500,1,4,9,25
Informatics,380100,1,4,9,35
2nd breakfast,382800,1,4,10,20
Ukr history,383700,1,4,10,35
Break,386400,1,4,11,20
Gym class,387000,1,4,11,30
Break,389700,1,4,12,15
Geography,390600,1,4,12,30
Break,393300,1,4,13,15
Lunch,396900,1,4,14,15
SP,403200,0,4,16,0
Nooning,409200,0,4,17,40
Ending of SP,414000,0,4,19,0
Dinner,416400,0,4,19,40
Shower closing,423900,0,4,21,45
Retire,426600,0,4,22,30
Wake up,457200,0,5,7,0
Jerks,457800,0,5,7,10
Breakfast,459600,0,5,7,40
Gym class,463200,1,5,8,40
Break,465900,1,5,9,25
English language,466500,1,5,9,35
2nd breakfast,469200,1,5,10,20
Algebra,470100,1,5,10,35
Break,472800,1,5,11,20
Algebra,473400,1,5,11,30
Break,476100,1,5,12,15
Inf tech,477000,1,5,12,30
Break,479700,1,5,13,15
Miliraty prep,480600,1,5,13,30
Lunch,483300,1,5,14,15
Dinner,502800,0,5,19,40
Shower closing,510300,0,5,21,45
Retire,513000,0,5,22,30
Breakfast,549900,0,6,8,45
Lunch,568800,0,6,14,0
Dinner,586800,0,6,19,0
Shower closing,596700,0,6,21,45
Retire,599400,0,6,22,30
